Type;Immatriculation;Marque;Modele;Prix;Km;Etat;Divers1;Divers2
Moto;YU-739-ET;Triumph;Tiger 900;105;62652;Disponible;1300;A
Voiture;EO-481-ZL;Audi;Q3;74;1974;Disponible;5;Oui
Voiture;YZ-208-MT;Hyundai;i10;147;186341;Disponible;5;Oui
CampingCar;GY-808-GO;Volkswagen;Crafter;301;67157;Disponible;5.5;2
Moto;IX-577-GD;Triumph;Speed Triple;221;236;Disponible;125;A2
Moto;CQ-218-XF;Ducati;Monster;210;26393;Loué;300;A2
Moto;DC-402-KJ;Royal Enfield;Continental GT 650;72;1918;Disponible;300;A2
Voiture;AT-755-NQ;Toyota;bZ4X;162;66061;Disponible;4;Oui
Voiture;KI-294-SO;Volvo;C40;160;106482;Disponible;9;Oui
Voiture;RI-982-GC;Renault;Captur;185;92134;Disponible;2;Non
CampingCar;IL-689-LZ;Ford;Ranger (Cellule);99;10217;Disponible;5.9;6
CampingCar;GT-503-JX;Citroën;Berlingo;98;220950;Disponible;8.8;5
Voiture;AM-513-WH;Dacia;Spring;39;32843;Disponible;9;Oui
Moto;VI-610-WW;Kawasaki;Z900RS;72;79803;Disponible;650;A2
Voiture;QF-755-JH;Ford;Focus;152;50712;Disponible;2;Oui
CampingCar;JF-765-QR;Fiat;Ducato;100;26659;Loué;6.9;2
Voiture;VN-382-GA;Dacia;Jogger;84;106912;Loué;9;Oui
Moto;IA-179-IE;Ducati;Monster;50;35779;Disponible;650;A2
CampingCar;YH-892-OQ;Peugeot;Rifter;232;167692;Loué;8.5;3
CampingCar;YZ-336-NC;Renault;Master;237;20799;Disponible;7.2;7
Voiture;SS-387-JK;Citroën;C4 X;73;158269;Disponible;9;Oui
Moto;ZR-176-DZ;Kawasaki;Ninja 1000SX;214;80756;Disponible;650;A2
Voiture;OM-521-WI;Kia;Sorento;33;138122;Disponible;5;Oui
Voiture;WR-445-RR;Renault;Captur;196;135578;Disponible;2;Oui
Voiture;GO-821-YI;Fiat;500;112;153780;Loué;9;Oui
Voiture;AS-093-VV;Volkswagen;Golf;187;179895;Loué;5;Oui
Moto;YM-443-BJ;Harley-Davidson;Street Glide;144;84118;Disponible;600;A2
Moto;IO-411-TK;Triumph;Tiger 1200;139;1655;Loué;600;A2
Voiture;XN-310-FX;Tesla;Model Y;184;48368;Disponible;7;Oui
Moto;QG-166-LS;Ducati;Panigale V2;170;33554;Disponible;600;A2
Voiture;BM-614-EO;Mini;Cooper S;51;60151;Loué;5;Oui
CampingCar;AO-095-NO;Volkswagen;Caddy California;117;55507;Disponible;7.8;7
CampingCar;VW-511-JT;Citroën;Berlingo;242;139559;Disponible;5.8;5
Moto;FG-410-BI;Suzuki;GSX-S750;183;9998;Disponible;300;A2
Voiture;LZ-322-QT;Toyota;Yaris Cross;133;151318;Disponible;5;Non
Moto;GK-696-RA;Yamaha;TMAX;204;46761;Disponible;1800;A
Moto;QG-307-EE;Harley-Davidson;Sportster S;58;88205;Disponible;1100;A
CampingCar;ZJ-806-WD;Fiat;Talento;98;192710;Disponible;8.8;3
Voiture;KN-941-WL;Mercedes;Classe C;101;118286;Disponible;5;Oui
Moto;NE-470-BM;Royal Enfield;Interceptor 650;234;34851;En maintenance;800;A
Voiture;KC-494-JV;Seat;Ateca;44;102590;Disponible;5;Oui
CampingCar;NT-063-SC;Peugeot;Boxer;315;224660;Disponible;6.0;7
Moto;MZ-418-AH;Suzuki;GSX-S1000GT;170;78801;Disponible;125;A2
Voiture;OY-627-OU;Ford;Explorer;76;159682;Disponible;4;Oui
Voiture;AD-163-TH;Seat;Ibiza;70;75131;En maintenance;7;Oui
CampingCar;FI-170-DA;Ford;Transit Custom;160;167062;Loué;8.6;3
Moto;XP-986-RD;Triumph;Bonneville T120;249;42335;Loué;1000;A
Voiture;XD-546-PI;Skoda;Kamiq;152;14353;Disponible;7;Oui
Voiture;ES-526-HY;Nissan;X-Trail;96;106912;Disponible;5;Oui
Voiture;HL-866-GN;Tesla;Model X;175;194362;Disponible;5;Oui
Voiture;NP-609-KT;Skoda;Octavia;146;128905;Disponible;5;Oui
Voiture;WH-499-JS;Ford;Explorer;158;76881;Disponible;2;Oui
Voiture;FP-358-TL;Volvo;XC90;183;189295;Loué;7;Oui
Moto;KG-631-PW;Kawasaki;Ninja 650;151;43888;Disponible;300;A2
Voiture;DA-043-RT;Skoda;Octavia;132;148824;Loué;4;Oui
Voiture;PL-763-YS;Skoda;Kodiaq;68;34071;Disponible;2;Oui
CampingCar;PB-392-SM;Peugeot;Traveller;120;229660;En maintenance;5.2;6
CampingCar;VR-875-MU;Fiat;Scudo;206;39865;Loué;6.2;5
Moto;RA-403-VV;Suzuki;Hayabusa;141;1540;Loué;1300;A
CampingCar;EY-507-QX;Iveco;Daily;248;167353;En maintenance;7.0;6
Moto;WB-079-MU;KTM;Duke 125;240;93112;Disponible;750;A
Moto;JB-984-KJ;Honda;X-ADV;193;78245;Loué;800;A
Moto;HE-405-YN;Kawasaki;Versys 650;176;52999;Disponible;900;A
Voiture;ES-171-YQ;Opel;Astra;45;195830;En maintenance;4;Oui
Moto;QY-929-PM;Honda;Africa Twin;143;68232;Disponible;1250;A
CampingCar;RP-183-VU;Ford;Transit Custom;221;89076;Disponible;8.7;3
Voiture;DE-507-PK;Nissan;Micra;83;75204;Disponible;4;Oui
Moto;ZX-254-NZ;KTM;Adventure 390;233;12752;Disponible;300;A2
Voiture;RP-863-NN;Tesla;Model S;186;32854;Loué;5;Oui
Moto;YP-619-HS;Triumph;Tiger 900;121;78403;Disponible;125;A2
Voiture;BJ-069-HW;Hyundai;Bayon;142;189718;Disponible;4;Oui
Moto;PF-885-CC;Yamaha;R7;64;29811;Loué;750;A
Moto;DA-502-ZP;Kawasaki;Z650;87;77905;Disponible;1250;A
Voiture;PN-605-EG;Tesla;Model X;189;51014;Disponible;5;Oui
Moto;TX-085-GV;Yamaha;XSR700;139;66298;Disponible;1250;A
Voiture;BH-391-LJ;Volkswagen;ID.3;159;2873;Disponible;2;Oui
Moto;NH-814-CO;Ducati;Scrambler;64;67850;Loué;125;A2
CampingCar;DV-702-BX;Peugeot;Traveller;344;56386;Disponible;7.6;3
CampingCar;SY-562-ZN;Mercedes;Sprinter;325;226675;Disponible;5.3;5
Voiture;JM-772-SA;Peugeot;Rifter;164;82123;Disponible;5;Oui
Moto;XE-523-WP;Triumph;Speed Triple;144;8046;Disponible;900;A
CampingCar;KD-125-PV;Citroën;SpaceTourer;296;49861;Disponible;7.4;6
CampingCar;FF-308-FS;Ford;Ranger (Cellule);206;91015;Disponible;7.9;5
Moto;TW-430-HV;BMW;CE 04;159;63311;Disponible;1000;A
Voiture;NM-731-UI;Citroën;C5 X;94;26565;Disponible;5;Oui
Voiture;ZT-560-GT;Tesla;Model 3;164;181327;Disponible;2;Oui
Voiture;LE-778-UR;Kia;Rio;185;192793;Disponible;5;Oui
Voiture;UB-460-IY;Mercedes;EQB;99;142589;Loué;4;Non
CampingCar;BN-154-US;Peugeot;Boxer;215;15014;Disponible;7.3;3
Moto;UM-279-UA;Honda;Africa Twin;86;38773;Disponible;125;A2
Voiture;UZ-589-WP;Dacia;Sandero;117;176593;Disponible;7;Oui
Moto;YZ-906-TA;KTM;Super Duke 1290;53;67181;Disponible;125;A2
Voiture;BS-305-XF;Nissan;Ariya;167;160813;Disponible;9;Oui
CampingCar;RF-834-HS;Ford;Transit 2T;129;219403;Disponible;8.2;2
Voiture;AG-671-QK;Seat;Arona;33;109473;Disponible;5;Oui
Voiture;XY-737-BW;Ford;Kuga;118;162331;Disponible;5;Oui
Voiture;EL-758-LG;Ford;Explorer;187;162808;Disponible;2;Oui
Moto;HB-373-FC;Ducati;Streetfighter V4;130;53083;Disponible;500;A2
Moto;NN-187-WU;Honda;CB1000R;141;45382;Disponible;500;A2
Voiture;DX-047-FV;Fiat;Tipo;68;123260;Disponible;5;Oui
Voiture;GU-643-EF;Renault;Zoe;145;179023;Disponible;5;Oui
Voiture;GC-361-EP;Volvo;XC40;51;102021;Loué;5;Oui
Moto;FP-981-GT;Yamaha;MT-10;157;36334;Disponible;1000;A
Voiture;BO-364-WB;Nissan;Micra;181;81545;Loué;7;Oui
CampingCar;WL-382-UL;Ford;Ranger (Cellule);318;234503;Disponible;8.5;2
Voiture;LE-389-IQ;BMW;Serie 2;142;11515;Loué;5;Oui
Voiture;CI-488-AP;Fiat;500;148;120062;Disponible;5;Oui
Moto;UU-644-TS;BMW;S1000XR;140;81431;Disponible;750;A
Voiture;BF-115-KF;Toyota;Corolla;84;171581;Loué;9;Oui
Voiture;FF-783-YL;Mercedes;Classe C;44;43454;Disponible;5;Oui
Voiture;QX-893-GM;Mini;Cooper;123;105056;Disponible;9;Oui
Voiture;GT-701-EY;Fiat;500;126;77640;Disponible;5;Oui
Moto;RH-845-MK;Ducati;Multistrada V4;142;49324;Disponible;900;A
Voiture;WR-638-GY;Tesla;Model 3;113;70551;Disponible;2;Oui
Voiture;CU-380-OU;Peugeot;108;50;25874;Loué;7;Oui
Voiture;JE-323-JQ;Renault;Zoe;43;130224;Disponible;2;Non
Voiture;OZ-976-HQ;Nissan;X-Trail;197;103182;Disponible;5;Non
Voiture;CY-251-FF;Volkswagen;Passat;180;4555;Disponible;9;Oui
Voiture;QO-963-MB;Mini;Clubman;112;174403;Disponible;5;Oui
Voiture;EF-955-TZ;Volkswagen;Arteon;62;165536;Disponible;2;Oui
Voiture;SZ-954-RT;Peugeot;108;71;67660;Disponible;5;Oui
Moto;HH-037-PW;Yamaha;Tracer 9;245;21208;Disponible;500;A2
Voiture;UX-406-VK;Hyundai;Kona;130;48331;Disponible;4;Oui
Voiture;WI-810-KW;Hyundai;Santa Fe;77;52989;Disponible;9;Oui
CampingCar;EA-266-LV;Peugeot;Boxer;341;71529;Disponible;7.9;5
Voiture;JT-557-IZ;Mini;Clubman;34;192834;Disponible;5;Non
Moto;RN-228-YY;Harley-Davidson;Sportster S;169;91368;Disponible;800;A
CampingCar;FO-789-PQ;Ford;Transit Custom;276;104127;Disponible;5.3;7
Voiture;OR-952-WK;Volkswagen;Arteon;108;104122;Loué;2;Oui
Voiture;PC-540-IU;Audi;Q8;162;132624;Disponible;9;Non
Voiture;ER-145-DM;Audi;Q2;113;20033;Disponible;5;Oui
Moto;HO-954-EX;Royal Enfield;Classic 350;156;44842;En maintenance;500;A2
CampingCar;AL-530-FG;Volkswagen;California;167;60709;Disponible;6.4;5
Voiture;TL-057-ZL;Citroën;C4;63;48168;Disponible;4;Oui
Voiture;DW-354-AG;Seat;Leon;178;149085;Disponible;5;Non
CampingCar;ST-328-CC;Citroën;SpaceTourer;360;174351;Disponible;7.2;4
Moto;TC-643-YR;KTM;Super Duke 1290;111;25527;Disponible;1300;A
CampingCar;JP-682-UU;Iveco;Daily;384;13518;Disponible;7.8;6
Voiture;FX-246-VG;Audi;Q2;36;150451;Disponible;2;Oui
Voiture;JV-662-NA;Fiat;500;156;64700;Disponible;5;Oui
Voiture;YT-535-AB;BMW;Serie 1;60;40491;Disponible;7;Non
Moto;JB-521-GW;Yamaha;XSR700;244;75842;Loué;1800;A
Moto;SF-614-JO;Suzuki;GSX-S750;66;97807;Loué;300;A2
Voiture;FN-623-RN;Fiat;Tipo;39;83219;Disponible;7;Non
Voiture;OT-477-JC;Volvo;XC40;69;127420;Disponible;7;Oui
Voiture;SL-462-ZD;Kia;EV6;175;18580;Loué;9;Oui
Voiture;PK-786-YD;Fiat;500;193;70843;Disponible;5;Oui
Moto;BR-601-NI;Honda;Gold Wing;158;38430;Disponible;650;A2
Moto;FR-332-DF;Suzuki;GSX-S750;147;34084;Disponible;125;A2
Voiture;XM-464-EP;Ford;Explorer;73;84508;Disponible;5;Oui
Voiture;KV-510-HA;Citroën;Berlingo;50;160300;Loué;5;Oui
Moto;FE-270-TV;Kawasaki;Ninja 1000SX;180;79754;Disponible;1250;A
Voiture;FL-699-GJ;Seat;Leon;86;46985;Disponible;5;Oui
Moto;NX-594-KX;Honda;Forza 350;216;26660;Disponible;600;A2
Moto;NV-377-AE;Royal Enfield;Classic 350;206;78472;Disponible;500;A2
Moto;YW-970-VN;Suzuki;Hayabusa;122;69977;Disponible;1250;A
Moto;VJ-752-SB;Royal Enfield;Continental GT 650;233;12837;Loué;1000;A
Moto;SE-863-KW;Harley-Davidson;Sportster S;241;51022;Loué;1800;A
Moto;XS-702-TO;Harley-Davidson;Street Glide;69;61451;Disponible;800;A
Voiture;IB-387-CK;Citroën;C4 X;72;176175;Disponible;9;Oui
Moto;DS-268-YB;Triumph;Rocket 3;156;4215;Disponible;125;A2
Voiture;DB-743-MI;Audi;Q7;64;13496;Loué;9;Oui
Moto;OR-774-UG;Kawasaki;Z650;113;90299;Disponible;1800;A
Voiture;BH-762-LP;Volvo;XC40;191;122563;Disponible;9;Oui
Voiture;QI-024-KE;Nissan;Qashqai;36;148910;Loué;5;Oui
Voiture;LP-351-ET;Peugeot;208;167;192735;En maintenance;4;Oui
Voiture;JU-928-WH;Kia;EV6;160;38543;Disponible;7;Oui
Moto;IM-644-YY;Yamaha;Tracer 9;85;38487;Loué;800;A
Moto;ZV-854-AW;KTM;Duke 125;190;20246;Loué;1000;A
Moto;PX-216-NY;Yamaha;TMAX;93;49548;En maintenance;1100;A
Moto;FR-049-YN;Honda;X-ADV;225;27591;Disponible;1000;A
Moto;HS-241-DE;Yamaha;MT-10;206;24233;Disponible;750;A
Voiture;LG-268-HN;Toyota;bZ4X;139;105414;Disponible;7;Oui
Moto;QW-834-SU;Yamaha;R7;185;75455;Loué;600;A2
CampingCar;GY-640-XB;Iveco;Daily;261;131990;Disponible;7.6;4
Voiture;WM-266-CC;Mini;Cooper S;74;163379;Disponible;7;Oui
Voiture;UU-322-CY;Fiat;500;39;87911;Disponible;4;Oui
Voiture;HD-248-NC;Volvo;XC90;184;584;Loué;4;Oui
Moto;MH-341-CL;Ducati;Monster;182;51722;Disponible;800;A
Voiture;JZ-074-GL;Renault;Espace;121;19920;Disponible;2;Oui
Voiture;FU-582-XA;Peugeot;Rifter;177;94039;Disponible;5;Oui
Voiture;HV-874-MJ;Hyundai;Ioniq 5;83;92384;En maintenance;7;Oui
Moto;YW-460-QP;KTM;Adventure 390;43;97017;Loué;1000;A
Moto;ZW-448-CO;Yamaha;R6;70;37976;Disponible;1250;A
CampingCar;OK-513-PT;Volkswagen;California;229;139076;Loué;7.6;7
Voiture;LY-743-LQ;Renault;Zoe;101;30799;Disponible;7;Oui
Voiture;RJ-428-CZ;Seat;Ateca;157;95295;Disponible;4;Oui
Voiture;WL-146-NO;Toyota;Corolla;92;146250;Disponible;5;Oui
Voiture;MT-843-UX;BMW;X5;87;60733;Disponible;4;Oui
Voiture;ZW-325-RG;Mercedes;Classe A;48;156176;Disponible;2;Oui
Voiture;CB-934-EB;Mercedes;GLC;33;198818;Disponible;5;Oui
Voiture;BQ-383-SB;Peugeot;2008;158;42985;Disponible;5;Oui
Moto;AG-662-VY;BMW;F750GS;143;12590;Disponible;500;A2
Voiture;YB-833-TH;Dacia;Spring;144;183725;Loué;9;Oui
Moto;RY-996-VP;Ducati;Multistrada V4;219;48779;Disponible;400;A2
Voiture;AX-010-UK;Ford;Kuga;130;87827;Loué;5;Oui
Voiture;RH-983-AM;Ford;Kuga;76;76490;Disponible;2;Oui
Voiture;BB-902-AT;Kia;Ceed;30;50651;Disponible;5;Oui
Moto;NZ-229-HY;Honda;Forza 125;238;87029;Disponible;1250;A
CampingCar;ML-727-SG;Ford;Ranger (Cellule);234;117542;Disponible;8.2;6
Moto;JA-686-SH;Ducati;Monster;121;92228;En maintenance;800;A
Voiture;QK-543-UL;Mercedes;CLA;53;81170;Disponible;5;Oui
Voiture;XY-680-QP;Peugeot;208;144;157541;Loué;7;Oui
CampingCar;HK-767-DI;Fiat;Scudo;351;24237;Loué;7.4;7
Voiture;AF-696-BA;Nissan;Micra;142;3029;Disponible;2;Non
Moto;MC-155-OS;Harley-Davidson;Sportster S;176;94293;Disponible;300;A2
Voiture;KL-268-LW;Toyota;bZ4X;137;174109;Disponible;5;Oui
Voiture;DM-365-AJ;Mini;Cooper;65;13604;Disponible;5;Oui
Voiture;CY-426-NY;Opel;Corsa;124;27088;Disponible;9;Oui
Moto;YF-058-YG;Honda;CB1000R;245;21108;Disponible;500;A2
Moto;SH-278-NY;Harley-Davidson;Pan America;105;86852;Disponible;1250;A
Voiture;RC-397-NT;Seat;Ibiza;112;143098;Disponible;5;Oui
Voiture;KM-307-OZ;Toyota;Aygo X;48;146216;Disponible;5;Oui
CampingCar;VD-148-PA;Fiat;Talento;256;120379;Disponible;5.4;4
Moto;XS-265-SA;BMW;F900XR;239;83345;Disponible;650;A2
Moto;OV-798-FL;Yamaha;XMAX;134;66801;Disponible;600;A2
Voiture;HP-706-LH;Mercedes;Classe A;177;195618;Disponible;5;Oui
Voiture;BW-233-CW;Volvo;XC60;36;74493;Disponible;5;Oui
Voiture;RS-023-GK;Ford;Kuga;116;34735;Disponible;4;Oui
Voiture;FZ-382-UB;Toyota;Aygo X;139;34131;Disponible;9;Oui
CampingCar;JD-859-LZ;Fiat;Talento;126;173158;Disponible;7.9;7
Voiture;LU-615-ZB;Dacia;Duster;110;95416;Disponible;4;Oui
Voiture;AF-225-LH;Audi;A4;147;182288;Disponible;5;Oui
Voiture;VC-031-HL;Mercedes;Classe C;135;190209;En maintenance;5;Non
Voiture;RP-145-DT;Audi;Q2;130;113510;Loué;5;Oui
Moto;ZY-437-ZK;KTM;Adventure 390;81;65861;Disponible;1300;A
Voiture;SY-186-BM;Renault;Austral;144;195972;Disponible;7;Oui
Voiture;SS-517-RW;Dacia;Jogger;69;100509;Disponible;9;Oui
Voiture;TG-633-RK;Volkswagen;Golf;131;190672;Disponible;5;Oui
CampingCar;IE-583-GI;Iveco;Daily;346;96674;Disponible;6.3;2
Voiture;QM-928-JT;Toyota;C-HR;78;102830;Disponible;5;Oui
Voiture;QM-829-KQ;Citroën;C5 X;142;86407;Disponible;5;Oui
Moto;GO-249-YN;KTM;Super Adventure 1290;174;42572;Loué;1800;A
CampingCar;XL-565-EA;Renault;Trafic SpaceNomad;351;14895;Disponible;5.0;2
Voiture;GB-699-VH;Dacia;Duster;127;126021;Disponible;4;Oui
Voiture;RO-580-PF;Hyundai;Kona;92;155286;Loué;5;Oui
Moto;PZ-960-XD;Honda;CB650R;192;49109;Disponible;125;A2
Voiture;AO-782-GS;Opel;Crossland;67;176535;Disponible;2;Oui
Voiture;LZ-478-JR;Mini;Cooper S;131;104552;Disponible;9;Non
Voiture;PO-876-QY;Peugeot;Rifter;122;130305;Disponible;9;Non
Voiture;SA-658-TL;Fiat;500;78;112530;Disponible;5;Oui
Voiture;UP-877-DB;Opel;Crossland;102;111286;Disponible;2;Oui
Moto;CP-172-TG;Harley-Davidson;Sportster S;101;29532;Loué;1250;A
Moto;PT-186-ZA;Honda;CB1000R;137;87018;Loué;800;A
Voiture;JK-012-UK;Mercedes;CLA;67;85176;Loué;5;Oui
Moto;HF-687-GI;Honda;CB650R;61;33192;Disponible;900;A
Voiture;RY-718-MH;Mini;Cooper;74;46019;Disponible;7;Oui
Voiture;LN-995-BB;Citroën;C3;175;5774;Loué;5;Oui
Voiture;WY-765-PK;Seat;Arona;49;68869;Loué;7;Non
Moto;FF-333-AW;Honda;Forza 350;227;31417;Disponible;125;A2
Voiture;FI-363-QD;BMW;X1;176;186812;Disponible;5;Oui
Moto;CP-411-CH;Kawasaki;Ninja 1000SX;68;57746;Disponible;500;A2
CampingCar;VH-574-TW;Ford;Transit Custom;102;158611;Loué;5.8;2
CampingCar;RX-838-GN;Fiat;Ducato;247;129337;Disponible;8.1;3
Voiture;WF-173-RV;BMW;X5;65;70284;Disponible;2;Oui
Moto;VI-600-EZ;Kawasaki;Ninja 400;132;52742;Loué;400;A2
Voiture;WV-928-NY;Kia;Sorento;125;12365;En maintenance;7;Oui
Voiture;ME-207-UD;Mercedes;Classe C;185;26408;Disponible;5;Oui
Moto;VI-186-CU;KTM;Super Adventure 1290;214;33314;Disponible;300;A2
Moto;YP-310-FK;BMW;R18;58;15971;Loué;500;A2
Moto;RV-951-LB;Triumph;Rocket 3;125;86614;Disponible;1100;A
Moto;OV-340-KG;Ducati;Monster;137;57475;Disponible;1300;A
CampingCar;YY-439-OD;Renault;Trafic SpaceNomad;148;80120;Disponible;7.4;3
Moto;ZN-680-TY;Ducati;Panigale V4;123;10264;Disponible;600;A2
Voiture;BF-397-WO;Mini;Countryman;172;160479;Disponible;9;Non
Voiture;PP-065-FA;Nissan;Juke;44;31995;Disponible;5;Oui
Moto;CI-154-FD;Royal Enfield;Classic 350;200;35278;Disponible;500;A2
Voiture;NV-493-SZ;Opel;Crossland;98;113815;Disponible;9;Oui
Voiture;KO-499-IA;Volvo;XC90;118;188153;Disponible;7;Oui
Voiture;EZ-608-MW;Volkswagen;Polo;111;31632;Disponible;5;Oui
CampingCar;QR-848-HJ;Peugeot;Traveller;387;66558;Loué;5.1;7
Moto;MI-192-SJ;BMW;R18;164;96393;Disponible;900;A
Voiture;KF-555-PW;Nissan;Ariya;196;16962;Disponible;5;Oui
Moto;DN-470-AX;Harley-Davidson;Fat Bob;179;87516;Disponible;125;A2
Moto;FE-054-AQ;Honda;Forza 125;199;621;Disponible;900;A
Moto;AB-629-XK;Honda;Gold Wing;159;85336;Disponible;500;A2
Moto;DA-973-BH;Yamaha;R7;182;9383;Disponible;750;A
CampingCar;KO-907-EB;Mercedes;Sprinter;112;165932;Disponible;7.7;3
Voiture;SG-931-YW;Mini;Countryman;128;18093;Disponible;9;Oui
Voiture;GR-403-NY;Volkswagen;Golf;31;72097;Disponible;5;Oui
Voiture;PI-974-AS;Fiat;500;117;62010;Loué;5;Oui
Voiture;PV-316-TG;Toyota;Prius;171;20181;Disponible;2;Oui
Moto;ZN-283-KI;Royal Enfield;Continental GT 650;123;95884;Disponible;1250;A
Voiture;JL-833-PL;Renault;Clio;196;52965;Disponible;5;Oui
CampingCar;EY-670-EK;Peugeot;Rifter;302;79152;Disponible;8.8;6
Moto;HI-500-SI;Kawasaki;Versys 1000;71;57806;Disponible;125;A2
Moto;SM-912-ZZ;Suzuki;V-Strom 650;160;74335;Disponible;1250;A
Voiture;GG-583-YO;Skoda;Fabia;186;122194;Disponible;5;Oui
Voiture;RS-139-LI;Dacia;Jogger;57;117223;Loué;5;Oui
Moto;LT-415-ZS;Yamaha;TMAX;81;180;Disponible;650;A2
Moto;MB-373-BG;Triumph;Tiger 1200;93;44389;Disponible;650;A2
Voiture;RK-102-HQ;Skoda;Superb;134;141627;Disponible;2;Oui
Voiture;WH-645-BO;Peugeot;408;60;150184;Disponible;4;Oui
CampingCar;TZ-136-CM;Iveco;Daily;332;22772;Disponible;5.8;6
Moto;FS-152-LS;Royal Enfield;Interceptor 650;144;3432;Disponible;125;A2
Voiture;NQ-544-AC;Citroën;Berlingo;134;115336;Disponible;2;Oui
Voiture;QD-543-ZO;Volvo;XC60;168;22896;Disponible;4;Oui
Voiture;LP-983-GQ;Mini;Cooper;140;161989;Disponible;5;Oui
Moto;SJ-562-QR;Triumph;Speed Triple;198;39795;Loué;650;A2
Moto;FL-520-OY;Suzuki;Hayabusa;41;76991;Disponible;1300;A
Voiture;ER-823-WN;Nissan;Leaf;114;39927;Disponible;5;Oui
Moto;GP-525-PN;KTM;Super Adventure 1290;153;89727;Disponible;1800;A
Voiture;EB-357-RN;Skoda;Scala;49;7185;Loué;5;Oui
Moto;KC-839-UU;Suzuki;V-Strom 1050;159;60525;Disponible;400;A2
Voiture;PM-938-NY;Skoda;Karoq;36;174208;Disponible;5;Oui
Moto;WW-418-BN;Harley-Davidson;Pan America;246;4263;Disponible;750;A
Voiture;AQ-980-PX;Mercedes;GLA;37;109993;Disponible;5;Oui
CampingCar;SO-340-KQ;Iveco;Daily;212;120952;Disponible;8.4;4
Voiture;YZ-849-NA;Fiat;500X;103;114907;Disponible;7;Oui
Voiture;BE-765-WG;Mercedes;EQA;154;7412;Disponible;5;Oui
Moto;AN-671-SM;Harley-Davidson;Low Rider S;167;61941;Loué;1000;A
Voiture;MP-031-YA;BMW;X5;194;53619;Disponible;5;Oui
CampingCar;JW-305-UF;Volkswagen;Grand California;133;231212;Disponible;7.4;5
Voiture;XJ-497-GX;Fiat;Panda;121;1855;Disponible;2;Oui
Moto;LH-800-XB;Royal Enfield;Himalayan;185;26080;Disponible;1800;A
Voiture;OF-530-CJ;Hyundai;Kona;123;59883;Disponible;9;Oui
Moto;QM-540-OO;KTM;Super Adventure 1290;59;66447;Disponible;1250;A
CampingCar;WE-596-YA;Iveco;Daily;267;43863;Disponible;8.0;2
Voiture;AF-642-VI;Mini;Countryman;156;188550;Disponible;5;Oui
CampingCar;CS-682-VG;Renault;Kangoo;331;89213;Disponible;7.8;2
Voiture;KO-625-AR;Tesla;Model 3;174;159914;En maintenance;5;Oui
Voiture;PG-787-BG;Hyundai;Santa Fe;48;190982;Disponible;9;Oui
Voiture;DK-764-VF;Ford;Focus;127;68789;Disponible;2;Oui
Voiture;DE-168-TP;Volkswagen;Up!;146;14577;Disponible;4;Oui
Voiture;DP-243-SH;Audi;Q7;165;70308;Disponible;2;Non
Voiture;KR-726-NY;Ford;Mustang Mach-E;35;35464;Disponible;2;Non
Moto;YR-464-AI;Honda;CMX500 Rebel;237;55432;Disponible;1300;A
Moto;JX-186-GE;Triumph;Rocket 3;206;77798;Disponible;600;A2
Moto;BK-360-JB;Harley-Davidson;Sportster S;246;96068;Loué;1100;A
Moto;IF-057-CT;Ducati;Diavel V4;213;32182;Disponible;650;A2
Moto;AF-395-FY;Royal Enfield;Continental GT 650;177;51835;Disponible;800;A
Voiture;WQ-083-CO;Mini;Clubman;142;81974;Disponible;7;Oui
Moto;LP-744-SC;Kawasaki;Z650;190;58985;Disponible;650;A2
CampingCar;YO-310-KG;Ford;Transit Custom;399;242037;En maintenance;5.0;6
Voiture;AC-571-UK;Opel;Mokka;187;98812;Disponible;7;Oui
Voiture;EX-305-HF;Dacia;Duster;97;92970;Disponible;2;Oui
Moto;XW-706-TC;Yamaha;XMAX;134;74468;Disponible;800;A
Voiture;NK-419-OD;Peugeot;Rifter;136;189395;Loué;4;Oui
Moto;IB-766-EK;Ducati;Scrambler;244;78046;Disponible;650;A2
Voiture;TM-409-DI;Seat;Leon;169;151072;En maintenance;5;Oui
Moto;KC-362-HA;Kawasaki;Versys 1000;77;70643;Disponible;750;A
Voiture;MR-025-VY;Skoda;Octavia;104;18826;Disponible;4;Oui
Voiture;QO-907-AH;Seat;Arona;50;121967;Disponible;5;Oui
Voiture;JK-661-ZB;Kia;Ceed;73;63350;Disponible;9;Oui
Voiture;IX-176-TC;Mercedes;EQB;140;91434;En maintenance;5;Oui
Voiture;ZK-256-FU;Tesla;Model S;142;180896;Disponible;5;Oui
Moto;TI-360-GU;Triumph;Bonneville T120;196;33043;Disponible;900;A
Voiture;KG-411-RZ;Toyota;Aygo X;97;133499;Disponible;2;Oui
Moto;OF-962-DX;Harley-Davidson;Pan America;236;99497;Disponible;300;A2
Voiture;GK-902-HS;Dacia;Spring;121;22324;Loué;5;Oui
Voiture;AE-606-NL;Opel;Crossland;133;111577;Disponible;9;Oui
Voiture;XB-979-ES;Hyundai;Ioniq 5;121;101783;Disponible;5;Oui
CampingCar;RL-632-BJ;Ford;Ranger (Cellule);258;190222;Disponible;7.0;7
Voiture;JF-410-OS;Nissan;Micra;182;33264;Disponible;5;Oui
Moto;SD-740-GV;Yamaha;XSR900;156;44213;Disponible;750;A
Voiture;PC-685-OS;Mini;Cooper;90;142653;Disponible;5;Oui
Voiture;JG-500-MG;Mercedes;GLC;72;142873;Loué;5;Oui
